Date,Units_Sold
2022-09-06,37
2022-10-06,38
2022-11-05,49
2022-12-05,52
2023-01-04,55
2023-02-03,81
2023-03-05,51
2023-04-04,51
2023-05-04,55
2023-06-03,53
2023-07-03,62
2023-08-02,58
2023-09-01,49
2023-10-01,45
2023-10-31,61
2023-11-30,22
2023-12-30,52
2024-01-29,47
2024-02-28,49
2024-03-29,50
2024-04-28,49
2024-05-28,37
2024-06-27,47
2024-07-27,40
2024-08-26,45
2024-09-25,74
2024-10-25,41
2024-11-24,43
2024-12-24,38
2025-01-23,47
2025-02-22,41
2025-03-24,45
2025-04-23,55
2025-05-23,45
2025-06-22,52
2025-07-22,59
