Date,Units_Sold
2022-09-06,57
2022-10-06,52
2022-11-05,63
2022-12-05,65
2023-01-04,68
2023-02-03,104
2023-03-05,68
2023-04-04,65
2023-05-04,70
2023-06-03,72
2023-07-03,71
2023-08-02,70
2023-09-01,64
2023-10-01,61
2023-10-31,58
2023-11-30,39
2023-12-30,63
2024-01-29,71
2024-02-28,60
2024-03-29,60
2024-04-28,50
2024-05-28,55
2024-06-27,57
2024-07-27,65
2024-08-26,56
2024-09-25,90
2024-10-25,62
2024-11-24,58
2024-12-24,53
2025-01-23,62
2025-02-22,62
2025-03-24,65
2025-04-23,68
2025-05-23,73
2025-06-22,72
2025-07-22,65
